Model,Mean Pricing Error,MAE,RMSE,R2
Random Forest,11.75761307718299,11.75761307718299,27.044813951098455,0.5786542812791053
SVR,5.7149564451078305,5.7149564451078305,27.6632917955447,0.5591627296110142
Deep NN,0.5764697396146342,0.5764697396146342,2.468068841948022,0.9964909857831797
XGBoost,2.951710103710854,2.951710103710854,13.508120251264538,0.8948860333093736
