,Risk Premium,t-stat
Intercept,0.0004658230921272643,0.056268080403274474
beta,0.011953952526037577,1.595812493125121
SMB,0.0021754074117606645,0.13647507006110496
HML,-0.0023590092649595864,-0.7727183713157182
RMW,0.0038909282755103624,0.5948034073969526
CMA,-0.0075541137332938695,-1.6214619513042714
