,CAPM,Fama-French 3,Fama-French 5
Alpha,0.015451618239881742,0.01705425865662561,0.017167153746157
Market Excess Return Beta,1.3228634916918782,1.2795638202690982,1.2382715672884148
Market Excess Return Beta (t-stat),11.536913976196024,11.133473327193288,10.127935315667546
R-squared,0.3010637151262977,0.3562128835750541,0.37243703515147975
Adjusted R-squared,0.29880178540178726,0.34992180426145525,0.3621491176949466
AIC,-603.0461451397509,-624.6076952191654,-628.5456898645612
BIC,-595.5665593153925,-609.6485235704484,-606.1069323914858
