,Return,Volatility,Sharpe Ratio
Max Sharpe Ratio Portfolio,0.31065814643977596,0.1581065631638558,1.6460932502217132
Minimum Volatility Portfolio,0.23077668332208523,0.13287460999624945,1.357495486362493
Markowitz Optimal Portfolio,0.31893685594387,0.16290059559313078,1.6484706821734525
